Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades,,,,,
2020-10-19,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-20,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-21,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-22,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-23,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-26,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-27,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-28,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-29,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-10-30,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-02,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-03,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-04,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-05,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-06,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-09,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-10,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-11,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-12,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-13,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-16,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-17,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-18,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-19,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-20,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-23,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-24,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-25,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-26,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-27,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-11-30,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-01,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-02,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-03,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-04,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-07,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-08,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-09,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-10,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-11,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-14,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-15,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-16,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-17,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-18,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-21,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-22,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-23,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-24,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-28,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-29,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-30,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2020-12-31,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
